id,brand,name,category,price_inr,description,display,processor,ram,storage,camera,battery,charging,image
1,Apple,iPhone 16 Pro,Smartphone,119900,Flagship iPhone,6.3 OLED 120Hz,Apple A18 Pro,8GB,256GB,48MP Triple,3582mAh,27W,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-16-pro.jpg
2,Apple,iPhone 16 Pro Max,Smartphone,144900,Largest flagship,6.9 OLED 120Hz,Apple A18 Pro,8GB,256GB,48MP Triple,4685mAh,27W,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-16-pro-max.jpg
3,Apple,iPhone 16,Smartphone,79900,Latest iPhone,6.1 OLED,Apple A18,8GB,128GB,48MP Dual,3561mAh,25W,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-16.jpg
4,Apple,AirPods Pro 2,Earbuds,24900,ANC earbuds,-,H2,-,-,-,30h,USB-C,https://fdn2.gsmarena.com/vv/bigpic/apple-airpods-pro-2.jpg
5,Apple,Apple Watch Series 10,Smartwatch,46900,Premium smartwatch,1.96 OLED,S10,2GB,64GB,-,18h,Wireless,https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series10.jpg
6,Apple,iPad Air 13 (2025),Tablet,79900,Powerful tablet,13 IPS,Apple M3,8GB,128GB,12MP,9705mAh,30W,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-13-2025.jpg
7,Samsung,Galaxy S25 Ultra,Smartphone,129999,Ultra flagship,6.9 AMOLED,Snapdragon 8 Elite,12GB,256GB,200MP Quad,5000mAh,45W,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-ultra.jpg
8,Samsung,Galaxy S25+,Smartphone,99999,Premium flagship,6.7 AMOLED,Snapdragon 8 Elite,12GB,256GB,50MP Triple,4900mAh,45W,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25-plus.jpg
9,Samsung,Galaxy S25,Smartphone,80999,Compact flagship,6.2 AMOLED,Snapdragon 8 Elite,12GB,256GB,50MP Triple,4000mAh,25W,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s25.jpg
10,Samsung,Galaxy Z Fold7,Foldable,174999,Foldable flagship,8 Fold AMOLED,Snapdragon 8 Elite,12GB,512GB,200MP Triple,4400mAh,25W,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold7.jpg
11,Samsung,Galaxy Buds3 Pro,Earbuds,19999,ANC earbuds,-,-,-,-,-,30h,USB-C,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-buds3-pro.jpg
12,Samsung,Galaxy Watch Ultra,Smartwatch,59999,Outdoor watch,1.5 AMOLED,Exynos W1000,2GB,32GB,-,100h,Wireless,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-ultra.jpg
