id,name,category,price_inr,description,display,processor,ram,storage,camera,battery,charging,image
1,OnePlus 13,Smartphone,69999,Premium flagship with Hasselblad cameras,6.82 AMOLED 120Hz,Snapdragon 8 Elite,12GB,256GB,50MP Triple,6000mAh,100W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13.jpg
2,OnePlus 13R,Smartphone,42999,Flagship killer,6.78 AMOLED 120Hz,Snapdragon 8 Gen 3,12GB,256GB,50MP Triple,6000mAh,80W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13r.jpg
3,OnePlus 13s,Smartphone,54999,Compact flagship,6.32 AMOLED 120Hz,Snapdragon 8 Elite,12GB,256GB,50MP Dual,5850mAh,80W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-13s.jpg
4,OnePlus 12,Smartphone,64999,Premium flagship,6.82 AMOLED,Snapdragon 8 Gen 3,12GB,256GB,50MP Triple,5400mAh,100W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-12.jpg
5,OnePlus 12R,Smartphone,39999,Gaming flagship killer,6.78 AMOLED,Snapdragon 8 Gen 2,8GB,256GB,50MP Triple,5500mAh,100W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-12r.jpg
6,OnePlus Open,Foldable,119999,Foldable flagship,7.82 Foldable AMOLED,Snapdragon 8 Gen 2,16GB,512GB,48MP Triple,4805mAh,67W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-open.jpg
7,OnePlus Nord 5,Smartphone,32999,Upper mid-range,6.83 AMOLED,Snapdragon 8s Gen 3,8GB,256GB,50MP Dual,6800mAh,80W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-5.jpg
8,OnePlus Nord CE5,Smartphone,24999,Affordable 5G,6.77 AMOLED,Dimensity 8350,8GB,256GB,50MP Dual,7100mAh,80W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce5.jpg
9,OnePlus Nord 4,Smartphone,29999,Metal body,6.74 AMOLED,Snapdragon 7+ Gen 3,8GB,256GB,50MP Dual,5500mAh,100W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord4.jpg
10,OnePlus Nord CE4,Smartphone,22999,Reliable daily phone,6.7 AMOLED,Snapdragon 7 Gen 3,8GB,256GB,50MP Dual,5500mAh,100W,https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce4.jpg
